raceId,driverId,constructorId,positionText,positionOrder,points,rank
18,1,1,1,1,10.0,2
18,2,2,2,2,8.0,3
18,3,3,3,3,6.0,5
18,4,4,4,4,5.0,7
18,5,1,5,5,4.0,1
18,6,3,6,6,3.0,14
18,7,5,7,7,2.0,8
18,8,6,8,8,1.0,4
18,9,2,R,9,0.0,9
18,10,7,R,10,0.0,13
18,11,8,R,11,0.0,15
18,12,4,R,12,0.0,16
18,13,6,R,13,0.0,6
18,14,9,R,14,0.0,11
18,15,7,R,15,0.0,10
18,16,10,R,16,0.0,17
18,17,9,R,17,0.0,\N
18,18,11,R,18,0.0,\N
18,19,8,R,19,0.0,\N
18,20,5,R,20,0.0,\N
18,21,10,R,21,0.0,\N
18,22,11,D,22,0.0,8
19,8,6,1,1,10.0,2
19,9,2,2,2,8.0,6
19,5,1,3,3,6.0,7
19,15,7,4,4,5.0,8
19,1,1,5,5,4.0,3
19,2,2,6,6,3.0,1
19,17,9,7,7,2.0,12
19,4,4,8,8,1.0,10
19,14,9,9,9,0.0,9
19,18,11,10,10,0.0,4
19,12,4,11,11,0.0,15
19,21,10,12,12,0.0,16
19,22,11,13,13,0.0,11
19,3,3,14,14,0.0,13
19,19,8,15,15,0.0,18
19,11,8,16,16,0.0,19
19,6,3,17,17,0.0,17
19,20,5,R,18,0.0,14
19,13,6,R,19,0.0,5
19,16,10,R,20,0.0,20
19,10,7,R,21,0.0,\N
19,7,5,R,22,0.0,\N
20,13,6,1,1,10.0,3
20,8,6,2,2,8.0,4
20,9,2,3,3,6.0,5
20,2,2,4,4,5.0,2
20,5,1,5,5,4.0,1
20,15,7,6,6,3.0,7
20,17,9,7,7,2.0,8
20,3,3,8,8,1.0,6
20,10,7,9,9,0.0,9
20,4,4,10,10,0.0,13
20,22,11,11,11,0.0,10
20,21,10,12,12,0.0,11
20,1,1,13,13,0.0,19
20,6,3,14,14,0.0,17
20,7,5,15,15,0.0,15
20,19,8,16,16,0.0,14
20,11,8,17,17,0.0,20
20,14,9,18,18,0.0,16
20,16,10,19,19,0.0,18
20,12,4,R,20,0.0,12
20,18,11,R,21,0.0,21
20,20,5,R,22,0.0,\N
21,8,6,1,1,10.0,1
21,13,6,2,2,8.0,2
21,1,1,3,3,6.0,3
21,9,2,4,4,5.0,4
21,17,9,5,5,4.0,8
21,18,11,6,6,3.0,5
21,6,3,7,7,2.0,15
21,15,7,8,8,1.0,10
21,2,2,9,9,0.0,7
21,21,10,10,10,0.0,14
21,10,7,11,11,0.0,12
21,14,9,12,12,0.0,11
21,11,8,13,13,0.0,17
21,3,3,R,14,0.0,13
21,4,4,R,15,0.0,9
21,22,11,R,16,0.0,16
21,5,1,R,17,0.0,6
21,19,8,R,18,0.0,20
21,7,5,R,19,0.0,19
21,12,4,R,20,0.0,18
21,16,10,R,21,0.0,\N
21,20,5,R,22,0.0,\N
22,13,6,1,1,10.0,3
22,1,1,2,2,8.0,2
22,8,6,3,3,6.0,1
22,9,2,4,4,5.0,4
22,2,2,5,5,4.0,5
22,4,4,6,6,3.0,6
22,17,9,7,7,2.0,7
22,3,3,8,8,1.0,9
22,14,9,9,9,0.0,12
22,15,7,10,10,0.0,11
22,18,11,11,11,0.0,13
22,5,1,12,12,0.0,8
22,10,7,13,13,0.0,16
22,22,11,14,14,0.0,14
22,12,4,15,15,0.0,10
22,16,10,16,16,0.0,18
22,20,5,17,17,0.0,15
22,7,5,R,18,0.0,17
22,6,3,R,19,0.0,\N
22,21,10,R,20,0.0,\N
23,1,1,1,1,10.0,6
23,9,2,2,2,8.0,5
23,13,6,3,3,6.0,4
23,17,9,4,4,5.0,8
23,20,5,5,5,4.0,7
23,22,11,6,6,3.0,9
23,6,3,7,7,2.0,13
23,5,1,8,8,1.0,2
23,8,6,9,9,0.0,1
23,4,4,10,10,0.0,3
23,18,11,11,11,0.0,10
23,10,7,12,12,0.0,11
23,15,7,13,13,0.0,12
23,2,2,14,14,0.0,14
23,16,10,R,15,0.0,16
23,3,3,R,16,0.0,15
23,12,4,R,17,0.0,17
23,21,10,R,18,0.0,18
23,14,9,R,19,0.0,20
23,7,5,R,20,0.0,19
24,9,2,1,1,10.0,4
24,2,2,2,2,8.0,2
24,14,9,3,3,6.0,7
24,10,7,4,4,5.0,17
24,13,6,5,5,4.0,6
24,15,7,6,6,3.0,15
24,22,11,7,7,2.0,10
24,20,5,8,8,1.0,12
24,5,1,9,9,0.0,11
24,3,3,10,10,0.0,5
24,18,11,11,11,0.0,19
24,17,9,12,12,0.0,8
24,7,5,13,13,0.0,13
24,21,10,R,14,0.0,16
24,6,3,R,15,0.0,14
24,4,4,R,16,0.0,9
24,12,4,R,17,0.0,18
24,8,6,R,18,0.0,1
24,1,1,R,19,0.0,3
24,16,10,R,20,0.0,20
25,13,6,1,1,10.0,2
25,8,6,2,2,8.0,1
25,15,7,3,3,6.0,7
25,5,1,4,4,5.0,3
25,9,2,5,5,4.0,4
25,17,9,6,6,3.0,6
25,12,4,7,7,2.0,10
25,4,4,8,8,1.0,8
25,14,9,9,9,0.0,12
25,1,1,10,10,0.0,5
25,10,7,11,11,0.0,13
25,20,5,12,12,0.0,11
25,2,2,13,13,0.0,9
25,22,11,14,14,0.0,14
25,6,3,15,15,0.0,15
25,3,3,16,16,0.0,17
25,7,5,17,17,0.0,16
25,21,10,18,18,0.0,19
25,16,10,19,19,0.0,18
25,18,11,R,20,0.0,20
26,1,1,1,1,10.0,3
26,2,2,2,2,8.0,2
26,22,11,3,3,6.0,11
26,8,6,4,4,5.0,1
26,5,1,5,5,4.0,5
26,4,4,6,6,3.0,6
26,15,7,7,7,2.0,13
26,6,3,8,8,1.0,14
26,3,3,9,9,0.0,16
26,17,9,10,10,0.0,4
26,7,5,11,11,0.0,9
26,10,7,12,12,0.0,15
26,13,6,13,13,0.0,8
26,9,2,R,14,0.0,12
26,18,11,R,15,0.0,10
26,12,4,R,16,0.0,7
26,21,10,R,17,0.0,17
26,16,10,R,18,0.0,18
26,20,5,R,19,0.0,\N
26,14,9,R,20,0.0,\N
27,1,1,1,1,10.0,2
27,12,4,2,2,8.0,9
27,13,6,3,3,6.0,5
27,2,2,4,4,5.0,1
27,5,1,5,5,4.0,4
27,8,6,6,6,3.0,3
27,9,2,7,7,2.0,6
27,20,5,8,8,1.0,8
27,15,7,9,9,0.0,12
27,3,3,10,10,0.0,15
27,4,4,11,11,0.0,13
27,7,5,12,12,0.0,10
27,14,9,13,13,0.0,11
27,6,3,14,14,0.0,17
27,16,10,15,15,0.0,18
27,21,10,16,16,0.0,20
27,18,11,17,17,0.0,16
27,22,11,R,18,0.0,19
27,17,9,R,19,0.0,14
27,10,7,R,20,0.0,7
28,5,1,1,1,10.0,7
28,10,7,2,2,8.0,6
28,8,6,3,3,6.0,1
28,4,4,4,4,5.0,8
28,1,1,5,5,4.0,3
28,12,4,6,6,3.0,4
28,15,7,7,7,2.0,5
28,9,2,8,8,1.0,9
28,17,9,9,9,0.0,10
28,2,2,10,10,0.0,11
28,14,9,11,11,0.0,16
28,18,11,12,12,0.0,13
28,6,3,13,13,0.0,18
28,3,3,14,14,0.0,12
28,21,10,15,15,0.0,15
28,22,11,16,16,0.0,14
28,13,6,17,17,0.0,2
28,7,5,18,18,0.0,17
28,16,10,R,19,0.0,19
28,20,5,R,20,0.0,20
29,13,6,1,1,10.0,1
29,1,1,2,2,8.0,2
29,9,2,3,3,6.0,4
29,5,1,4,4,5.0,3
29,15,7,5,5,4.0,12
29,20,5,6,6,3.0,6
29,10,7,7,7,2.0,8
29,3,3,8,8,1.0,10
29,2,2,9,9,0.0,7
29,7,5,10,10,0.0,11
