resultId,raceId,driverId,constructorId,position,points
1,1061,830,9,1,3
2,1061,1,131,2,2
3,1061,822,131,3,1
4,1061,844,6,4,0
5,1061,846,1,5,0
6,1061,817,1,6,0
7,1061,4,214,7,0
8,1061,20,117,8,0
9,1061,847,3,9,0
10,1061,839,214,10,0
11,1061,832,6,11,0
12,1061,842,213,12,0
13,1061,8,51,13,0
14,1061,840,117,14,0
15,1061,841,51,15,0
16,1061,852,213,16,0
17,1061,849,3,17,0
18,1061,854,210,18,0
19,1061,853,210,19,0
20,1061,815,9,\N,0
21,1065,822,131,1,3
22,1065,830,9,2,2
23,1065,817,1,3,1
24,1065,846,1,4,0
25,1065,1,131,5,0
26,1065,844,6,6,0
27,1065,832,6,7,0
28,1065,841,51,8,0
29,1065,815,9,9,0
30,1065,840,117,10,0
31,1065,4,214,11,0
32,1065,20,117,12,0
33,1065,839,214,13,0
34,1065,849,3,14,0
35,1065,847,3,15,0
36,1065,852,213,16,0
37,1065,853,210,17,0
38,1065,9,51,18,0
39,1065,854,210,19,0
40,1065,842,213,\N,0
41,1071,822,131,1,3
42,1071,830,9,2,2
43,1071,832,6,3,1
44,1071,815,9,4,0
45,1071,1,131,5,0
46,1071,846,1,6,0
47,1071,844,6,7,0
48,1071,842,213,8,0
49,1071,839,214,9,0
50,1071,20,117,10,0
51,1071,817,1,11,0
52,1071,4,214,12,0
53,1071,841,51,13,0
54,1071,840,117,14,0
55,1071,852,213,15,0
56,1071,849,3,16,0
57,1071,847,3,17,0
58,1071,8,51,18,0
59,1071,854,210,19,0
60,1071,853,210,20,0
61,1077,830,9,1,8
62,1077,844,6,2,7
63,1077,815,9,3,6
64,1077,832,6,4,5
65,1077,846,1,5,4
66,1077,817,1,6,3
67,1077,822,51,7,2
68,1077,825,210,8,1
69,1077,4,214,9,0
70,1077,854,210,10,0
71,1077,847,131,11,0
72,1077,852,213,12,0
73,1077,20,117,13,0
74,1077,1,131,14,0
75,1077,840,117,15,0
76,1077,839,214,16,0
77,1077,842,213,17,0
78,1077,848,3,18,0
79,1077,849,3,19,0
80,1077,855,51,\N,0
81,1084,830,9,1,8
82,1084,844,6,2,7
83,1084,832,6,3,6
84,1084,847,131,4,5
85,1084,815,9,5,4
86,1084,839,214,6,3
87,1084,825,210,7,2
88,1084,1,131,8,1
89,1084,854,210,9,0
90,1084,822,51,10,0
91,1084,846,1,11,0
92,1084,817,1,12,0
93,1084,840,117,13,0
94,1084,855,51,14,0
95,1084,842,213,15,0
96,1084,848,3,16,0
97,1084,852,213,17,0
98,1084,849,3,18,0
99,1084,20,117,19,0
100,1084,4,214,\N,0
101,1095,847,131,1,8
102,1095,832,6,2,7
103,1095,1,131,3,6
104,1095,830,9,4,5
105,1095,815,9,5,4
106,1095,844,6,6,3
107,1095,846,1,7,2
108,1095,825,210,8,1
109,1095,20,117,9,0
110,1095,842,213,10,0
111,1095,817,1,11,0
112,1095,854,210,12,0
113,1095,855,51,13,0
114,1095,822,51,14,0
115,1095,852,213,15,0
116,1095,840,117,16,0
117,1095,839,214,17,0
118,1095,4,214,18,0
119,1095,849,3,19,0
120,1095,848,3,\N,0
121,1101,815,9,1,8
122,1101,844,6,2,7
123,1101,830,9,3,6
124,1101,847,131,4,5
125,1101,832,6,5,4
126,1101,4,117,6,3
127,1101,1,131,7,2
128,1101,840,117,8,1
129,1101,848,3,9,0
130,1101,857,1,10,0
131,1101,825,210,11,0
132,1101,855,51,12,0
133,1101,842,214,13,0
134,1101,856,213,14,0
135,1101,807,210,15,0
136,1101,822,51,16,0
137,1101,846,1,17,0
138,1101,839,214,18,0
139,1101,852,213,\N,0
140,1101,858,3,\N,0
141,1107,830,9,1,8
142,1107,815,9,2,7
143,1107,832,6,3,6
144,1107,840,117,4,5
145,1107,4,117,5,4
146,1107,807,210,6,3
147,1107,839,214,7,2
148,1107,847,131,8,1
149,1107,846,1,9,0
150,1107,1,131,10,0
151,1107,857,1,11,0
152,1107,844,6,12,0
153,1107,848,3,13,0
154,1107,825,210,14,0
155,1107,842,214,15,0
156,1107,852,213,16,0
157,1107,856,213,17,0
158,1107,858,3,18,0
159,1107,855,51,19,0
160,1107,822,51,20,0
161,1110,830,9,1,8
162,1110,857,1,2,7
163,1110,842,214,3,6
164,1110,832,6,4,5
165,1110,844,6,5,4
166,1110,846,1,6,3
167,1110,1,131,7,2
168,1110,847,131,8,1
169,1110,839,214,9,0
170,1110,817,213,10,0
171,1110,840,117,11,0
172,1110,848,3,12,0
173,1110,822,51,13,0
174,1110,825,210,14,0
175,1110,855,51,15,0
176,1110,858,3,16,0
177,1110,807,210,17,0
178,1110,852,213,18,0
179,1110,815,9,\N,0
180,1110,4,117,\N,0
181,1115,857,1,1,8
182,1115,830,9,2,7
183,1115,846,1,3,6
184,1115,847,131,4,5
185,1115,1,131,5,4
186,1115,832,6,6,3
187,1115,848,3,7,2
188,1115,4,117,8,1
189,1115,842,214,9,0
190,1115,822,51,10,0
191,1115,852,213,11,0
192,1115,844,6,12,0
193,1115,840,117,13,0
194,1115,825,210,14,0
195,1115,855,51,15,0
196,1115,807,210,\N,0
197,1115,839,214,\N,0
198,1115,815,9,\N,0
199,1115,858,3,\N,0
200,1115,859,213,\N,0
201,1116,830,9,1,8
202,1116,1,131,2,7
203,1116,844,6,3,6
204,1116,846,1,4,5
205,1116,815,9,5,4
206,1116,832,6,6,3
207,1116,842,214,7,2
208,1116,847,131,8,1
209,1116,848,3,9,0
210,1116,857,1,10,0
211,1116,839,214,11,0
212,1116,817,213,12,0
213,1116,4,117,13,0
214,1116,852,213,14,0
215,1116,807,210,15,0
216,1116,822,51,16,0
217,1116,855,51,17,0
218,1116,825,210,18,0
219,1116,858,3,19,0
220,1116,840,117,\N,0
221,1118,830,9,1,8
222,1118,846,1,2,7
223,1118,815,9,3,6
224,1118,847,131,4,5
225,1118,844,6,5,4
226,1118,852,213,6,3
227,1118,1,131,7,2
228,1118,832,6,8,1
229,1118,817,213,9,0
230,1118,857,1,10,0
231,1118,4,117,11,0
232,1118,840,117,12,0
233,1118,842,214,13,0
234,1118,839,214,14,0
235,1118,848,3,15,0
236,1118,825,210,16,0
237,1118,855,51,17,0
238,1118,807,210,18,0
239,1118,822,51,19,0
240,1118,858,3,20,0
241,1125,830,9,1,8
242,1125,1,131,2,7
243,1125,815,9,3,6
244,1125,844,6,4,5
245,1125,832,6,5,4
246,1125,846,1,6,3
247,1125,857,1,7,2
248,1125,847,131,8,1
249,1125,855,15,9,0
250,1125,825,210,10,0
251,1125,817,215,11,0
252,1125,822,15,12,0
253,1125,839,214,13,0
